2022-01-10 17:50:58,208 - shioda_picard_computation.py:182 - INFO - ID: 15361, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([1, 0, 3, 0]), array([3, 0, 0, 1])]
2022-01-10 17:50:58,740 - shioda_picard_computation.py:182 - INFO - ID: 15362, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([1, 0, 3, 0]), array([3, 0, 1, 0])]
2022-01-10 17:51:58,313 - shioda_picard_computation.py:182 - INFO - ID: 15363, rho=4, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([1, 0, 3, 0]), array([3, 1, 0, 0])]
2022-01-10 17:51:58,364 - shioda_picard_computation.py:182 - INFO - ID: 15364, rho=20, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([1, 0, 3, 0]), array([4, 0, 0, 0])]
2022-01-10 17:51:58,426 - shioda_picard_computation.py:182 - INFO - ID: 15789, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 0, 1]), array([0, 0, 4, 0])]
2022-01-10 17:52:00,340 - shioda_picard_computation.py:182 - INFO - ID: 15793, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 0, 1]), array([0, 1, 3, 0])]
2022-01-10 17:52:02,240 - shioda_picard_computation.py:182 - INFO - ID: 15803, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 0, 1]), array([1, 0, 3, 0])]
2022-01-10 17:52:04,322 - shioda_picard_computation.py:182 - INFO - ID: 15823, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 1, 0]), array([0, 0, 3, 1])]
2022-01-10 17:52:04,420 - shioda_picard_computation.py:182 - INFO - ID: 15824, rho=20, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 1, 0]), array([0, 0, 4, 0])]
2022-01-10 17:53:04,371 - shioda_picard_computation.py:182 - INFO - ID: 15828, rho=4, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 1, 0]), array([0, 1, 3, 0])]
2022-01-10 17:53:04,946 - shioda_picard_computation.py:182 - INFO - ID: 15838, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 0, 1, 0]), array([1, 0, 3, 0])]
2022-01-10 17:53:07,028 - shioda_picard_computation.py:182 - INFO - ID: 15858, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 1, 0, 0]), array([0, 0, 3, 1])]
2022-01-10 17:53:08,979 - shioda_picard_computation.py:182 - INFO - ID: 15859, rho=10, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 1, 0, 0]), array([0, 0, 4, 0])]
2022-01-10 17:53:10,881 - shioda_picard_computation.py:182 - INFO - ID: 15863, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 1, 0, 0]), array([0, 1, 3, 0])]
2022-01-10 17:54:10,379 - shioda_picard_computation.py:182 - INFO - ID: 15873, rho=4, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([3, 1, 0, 0]), array([1, 0, 3, 0])]
2022-01-10 17:54:10,430 - shioda_picard_computation.py:182 - INFO - ID: 15893, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([4, 0, 0, 0]), array([0, 0, 3, 1])]
2022-01-10 17:54:10,480 - shioda_picard_computation.py:182 - INFO - ID: 15894, rho=18, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([4, 0, 0, 0]), array([0, 0, 4, 0])]
2022-01-10 17:54:12,416 - shioda_picard_computation.py:182 - INFO - ID: 15898, rho=10, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([4, 0, 0, 0]), array([0, 1, 3, 0])]
2022-01-10 17:54:12,468 - shioda_picard_computation.py:182 - INFO - ID: 15908, rho=20, A=[array([0, 0, 0, 4]), array([0, 3, 0, 1]), array([4, 0, 0, 0]), array([1, 0, 3, 0])]
2022-01-10 17:54:14,416 - shioda_picard_computation.py:182 - INFO - ID: 16061, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 1, 0]), array([0, 0, 3, 1]), array([3, 0, 0, 1])]
2022-01-10 17:54:16,309 - shioda_picard_computation.py:182 - INFO - ID: 16062, rho=16, A=[array([0, 0, 0, 4]), array([0, 3, 1, 0]), array([0, 0, 3, 1]), array([3, 0, 1, 0])]
2022-01-10 17:55:18,709 - shioda_picard_computation.py:182 - INFO - ID: 16063, rho=4, A=[array([0, 0, 0, 4]), array([0, 3, 1, 0]), array([0, 0, 3, 1]), array([3, 1, 0, 0])]
2022-01-10 17:55:20,597 - shioda_picard_computation.py:182 - INFO - ID: 16064, rho=10, A=[array([0, 0, 0, 4]), array([0, 3, 1, 0]), array([0, 0, 3, 1]), array([4, 0, 0, 0])]
2022-01-10 17:55:20,647 - shioda_picard_computation.py:182 - INFO - ID: 16096, rho=20, A=[array([0, 0, 0, 4]), array([0, 3, 1, 0]), array([0, 0, 4, 0]), array([3, 0, 0, 1])]
